,HG_mostNum,HG_std,HG_val,HG_entropy,GLCM_asm,GLCM_contrast,GLCM_entropt,GLCM_idm,label
17801,129,8.681893348693848,0.06704793870449066,4.635296821594238,0.2808889939088427,0.23550724637681159,1.2016796940396226,0.7952898550724637,2
17802,126,8.365889549255371,0.06878134608268738,4.50654935836792,0.46323481148918294,0.18659420289855072,0.8856544077186616,0.8197463768115942,2
17803,128,8.62708568572998,0.07048812508583069,4.523180961608887,0.3869903250367569,0.20833333333333334,1.0239151758364218,0.808876811594203,2
17804,127,7.544069766998291,0.06097843497991562,4.393553256988525,0.3549543163201008,0.23550724637681159,1.0804714549503687,0.7952898550724637,2
17805,125,7.112164497375488,0.057468004524707794,4.323884963989258,0.39346382062591895,0.18115942028985507,1.0092775241434802,0.822463768115942,2
17806,118,7.329777717590332,0.062473393976688385,4.354467391967773,0.8042739839319472,0.016304347826086956,0.1761511345673331,0.904891304347826,2
17807,121,5.781228065490723,0.048908546566963196,4.05583381652832,0.7978234614576769,0.018115942028985508,0.19761379238454493,0.9039855072463767,2
17808,125,7.317195892333984,0.059377096593379974,4.425874710083008,0.4300173282923756,0.19202898550724637,0.9476166137142019,0.8170289855072466,2
17809,125,7.457136154174805,0.05987413227558136,4.426302433013916,0.3340225267800883,0.2318840579710145,1.1160925163132314,0.7971014492753624,2
17810,123,6.034101486206055,0.048433586955070496,4.047042369842529,0.3571925540852763,0.213768115942029,1.0750102370696928,0.806159420289855,2
17811,128,4.7924628257751465,0.037446197122335434,3.8107941150665283,0.22148708254568367,0.37681159420289856,1.3221851684305694,0.7246376811594203,2
17812,129,9.07619571685791,0.07405570894479752,4.593966484069824,0.3875827032136106,0.17391304347826086,1.01653181316056,0.826086956521739,2
17813,128,7.269721508026123,0.05845573544502258,4.345338821411133,0.3248464083175803,0.22826086956521738,1.1305756362127657,0.7989130434782608,2
